system:index,annual_prcp,.geo
0,255.89187465345657,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,265.18860516048056,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1521.733650664037,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,273.77253701266915,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1025.7158903032541,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1074.9909208070333,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1096.2354887541044,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1025.9731299822981,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,303.32810621234506,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1068.8016630736265,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1148.9028494971928,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1266.2166218730536,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1292.7567437480795,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1349.3466531376946,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,956.0448243550279,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,970.987824943132,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1047.5152314786208,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1097.2498231394725,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1242.7754195481539,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1301.1990268514915,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1440.810662732883,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,411.53732620856977,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1103.246077147397,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,983.6087364396079,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1023.3668040917678,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1041.983060231263,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1231.712054006078,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1385.8036727580156,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1399.162180859934,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1865.2984066497195,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2075.5326384251766,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2135.7751321006904,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,426.4551965093071,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,356.4105671603571,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1142.624735883691,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,958.5197185922608,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,972.6269433938644,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,894.4341132640839,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1124.235491447828,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1396.1465405659242,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1049.6462984735315,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1938.2816639678044,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2166.512173490091,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2258.5586173128,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2716.0820435800338,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,316.60163735801524,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,335.9433481764387,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1024.0388552925804,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,898.8902123504745,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,793.3143381611867,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,569.4946183264256,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,892.0010892152786,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1365.275191030719,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1797.0889490517702,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2137.8460377346387,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2382.002996748144,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2499.342768062245,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,3374.3994751071386,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2357.4601220359855,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,304.3752941523086,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,945.0028370564634,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,910.3323030952703,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,831.2651497291353,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,848.7806943248619,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,815.1409309072928,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,934.2458829744296,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,1260.4886177073824,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,1855.347221645442,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2517.5794867385516,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2800.977552776987,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2683.5429991808805,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2962.7971868122168,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,218.03839226744392,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,997.6620366634293,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,836.4024197743697,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,398.9668753668666,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,736.6907633152091,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,884.4711021130735,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,994.7153978022662,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,1051.8207487572324,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,1327.7284322164276,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,1852.9561904668808,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2824.5142038085246,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2562.3495884916997,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2501.1151555505667,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,736.8761005056175,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,788.2988023168662,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,885.0666433186693,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,856.8228149915284,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,802.3540075272322,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,1131.2153982465918,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,1014.3222828724167,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,1290.1816097172823,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,1939.518573137847,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2892.2103169397874,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,3065.88999495723,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,781.4008417271755,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,820.7701253308492,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,920.2238654738122,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,833.0899672413415,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,453.00766558877444,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1125.0776680735025,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,1186.26838688146,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,1459.053075492382,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,1902.5942664200609,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2690.5995975624433,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2889.0677743608303,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,890.8375352397561,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,921.8133386590264,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,1050.6512014093723,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,1281.9299882216887,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,1317.2904995300553,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,1562.9468023180962,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,1869.6770451123064,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2319.4842502203855,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,245.3275990377773,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,1163.8524763475764,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2854.867475076155,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,1674.6179601306264,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,1539.6022449189966,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1807.2917107777162,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,675.3281811638312,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,997.1394247819077,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,1560.4346155768092,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,777.1360468187115,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,166.09443961134687,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,152.05174470438877,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,151.3999853164635,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,586.3203618485819,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,543.8902206061916,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,176.96249809065327,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,207.29681094058688,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,201.1393925530565,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,162.79606367567214,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,645.1205148449676,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,768.7285553941673,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,975.4623448889364,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,1245.2217142615807,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,1283.5642917941916,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,233.39314779004252,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,400.56022683734244,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,520.8976708884267,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,165.22191755064043,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,481.1517589047382,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,662.1783391004534,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,871.0102697107094,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,738.6951925860379,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,1410.8131134703078,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,1292.2107866055924,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,255.7584758049131,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,237.54886402439496,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,443.9661993535066,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,569.1461080278863,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,188.51040732985447,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,559.3748612684959,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,425.94201696122235,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,449.6081911608238,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,1022.5457018803467,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2499.712095187469,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,627.5373857701833,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,638.2528286420486,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,984.7641866857356,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,276.48862911343167,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,253.6468880167231,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,253.85952083343133,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,256.4259300927039,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,249.83356271099976,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,838.4279983731791,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,600.2618155140768,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,521.4175118354403,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,678.710922901434,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,1313.1069620424373,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,897.721936352551,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,802.0109094516797,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,250.0966226386531,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,492.4588335757567,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,669.438718306578,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,271.5572426311053,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,280.8643002480883,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,268.7029185136787,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,277.67802539783634,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,1147.1158891844514,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,1299.0216948355849,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,716.6321872569304,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,768.3219954465332,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,522.1916015439539,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,1279.2110485229994,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,1590.2234051032365,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,283.11462242169256,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,687.0698948297203,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,781.6356082431034,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,1126.9053356493273,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,1664.8381553397148,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,653.0966440250119,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,564.2054486373326,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,1033.2995605245978,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,1194.3812821060815,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,797.7070431325882,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,1007.7637048509456,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,306.848067809235,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,311.68090948343956,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,298.92493297913063,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,304.2762732601444,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,754.7160548676144,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,1664.9736451344056,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,1302.6430000127716,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,792.4696556211195,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,303.68028830162734,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,624.1968285830861,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,1029.447435100309,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,1429.7197170899335,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,1625.62699070285,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,952.7468856529925,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,846.6162033670328,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,1592.9871744512666,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,1388.1280880211007,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,1360.9766164370812,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,1242.8619771256026,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,1968.2583703314192,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,1469.0979120624595,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,1548.1315536622212,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,903.3567134766098,"{""type"":""MultiPoint"",""coordinates"":[]}"
